x,tnldy,date,weekday,in_field,present,n_events,z,pct,extremum,out_degree,carried,text
-147.6,1850.0,1974-12-01,Sun,0,,,,,,2,0,Primordial Follicles  (derived: -25.99dysi)
-132.97,3313.0,1978-12-03,Sun,0,,,,,,1,0,Primordial Follicles  [carried from -147.6]  (derived: -21.60dysi)
-126.3,3980.0,1980-09-30,Tue,1,1,1952,0.7839,84.79,,1,0,Primordial Follicles  [carried from -147.6]  (derived: -19.60dysi)
-123.01,4309.0,1981-08-25,Tue,1,1,2302,1.8858,97.23,,1,0,Primordial Follicles  [carried from -147.6]  (derived: -18.612dysi)
-120.97,4513.0,1982-03-17,Wed,1,1,1882,-0.4859,23.49,,1,0,Primordial Follicles  [carried from -147.6]  (derived: -18.00dysi)
-110.97,5513.0,1984-12-11,Tue,1,1,2663,1.0121,89.17,,1,0,Primordial Follicles  [carried from -147.6]  (derived: -15.00dysi)
-104.4,6170.0,1986-09-29,Mon,1,1,3126,-0.4622,24.28,,2,0,Primary-Stage Follicles
-100.97,6513.0,1987-09-07,Mon,1,1,3485,1.6204,95.81,,2,0,Primary-Stage Follicles  [carried from -104.4]  (derived: -12.00dysi)
-98.3,6780.0,1988-05-31,Tue,1,1,3688,0.0,52.62,,2,0,Primary-Stage Follicles  [carried from -104.4]  (derived: -11.20dysi)
-95.6,7050.0,1989-02-25,Sat,1,1,3272,2.1675,98.36,max,2,0,Jericho 0 (Joshua 2:1-3 & Joshua 6:17-23) | Rahab...to them that know me (Psalms 87:4)  (derived: -10.39dysi)
-91.56,7454.0,1990-04-05,Thu,1,1,3303,0.0,52.62,,2,0,Jericho 1 (Joshua 2:1-3 & Joshua 6:17-23) | Rahab...to them that know me (Psalms 87:4)  (derived: -9.18dysi)
-90.6,7550.0,1990-07-10,Tue,1,1,3011,-0.6993,17.6,,1,0,Jericho 2 (Joshua 2:1-3 & Joshua 6:17-23) | Rahab...to them that know me (Psalms 87:4)  (derived: -8.89dysi)
-83.19,8291.0,1992-07-20,Mon,1,1,2743,-0.1281,39.15,,1,0,Jericho 2 (Joshua 2:1-3 & Joshua 6:17-23) | Rahab...to them that know me (Psalms 87:4)  [carried from -90.6]  (derived: -6.668dysi)
-72.03,9407.0,1995-08-10,Thu,1,1,6693,0.2459,67.36,,1,0,Jericho 2 (Joshua 2:1-3 & Joshua 6:17-23) | Rahab...to them that know me (Psalms 87:4)  [carried from -90.6]  (derived: -3.32dysi)
