x,date,events
-147.6,1974-12-01,
-132.97,1978-12-03,
-126.3,1980-09-30,1952
-123.01,1981-08-25,2302
-120.97,1982-03-17,1882
-110.97,1984-12-11,2663
-104.4,1986-09-29,3126
-100.97,1987-09-07,3485
-98.3,1988-05-31,3688
-95.6,1989-02-25,3272
-91.56,1990-04-05,3303
-90.6,1990-07-10,3011
-83.19,1992-07-20,2743
-72.03,1995-08-10,6693
-61.2,1998-07-28,10751
-60.97,1998-08-20,11644
-43.2,2003-07-02,17546
-39.5984,2004-06-26,10183
-38.8,2004-09-14,13242
-37.5186,2005-01-20,10355
-36.4836,2005-05-04,9879
-35.5964,2005-07-31,6890
-34.9064,2005-10-08,5422
-34.2657,2005-12-11,6602
-32.6689,2006-05-20,11621
-32.14,2006-07-12,22238
-32.0281,2006-07-23,16649
-30.1849,2007-01-23,23464
-29.6329,2007-03-20,40779
-29.071,2007-05-15,40809
-28.6471,2007-06-26,39098
-28.5289,2007-07-08,20444
-28.3909,2007-07-22,21522
-27.6,2007-10-09,41111
-27.5629,2007-10-13,23330
-26.6264,2008-01-14,49838
-26.0843,2008-03-09,17061
-25.9,2008-03-27,32721
-24.7831,2008-07-17,49350
-23.8171,2008-10-21,28238
-23.6594,2008-11-06,44163
-23.4623,2008-11-26,50125
-22.5259,2009-02-27,61696
-22.4766,2009-03-04,72801
-22.4569,2009-03-06,38307
-22.1119,2009-04-10,61853
-21.9936,2009-04-22,76666
-21.8161,2009-05-09,48103
-21.6,2009-05-31,45814
-21.481,2009-06-12,66524
-21.1853,2009-07-11,27407
-20.8699,2009-08-12,81715
-20.5741,2009-09-11,83835
-20.2883,2009-10-09,82522
-19.5983,2009-12-17,87202
-19.1251,2010-02-02,91684
-19.1153,2010-02-03,95854
-19.0857,2010-02-06,51049
-19.0266,2010-02-12,81388
-18.9871,2010-02-16,89624
-18.859,2010-03-01,7826
-18.8294,2010-03-04,19079
-18.79,2010-03-08,13471
-18.6126,2010-03-26,42794
-18.6027,2010-03-27,11389
-18.2676,2010-04-29,85464
-18.1394,2010-05-12,29835
-18.0211,2010-05-24,15167
-18.0,2010-05-26,47186
-17.8733,2010-06-08,61468
-17.8437,2010-06-11,31166
-17.5283,2010-07-12,30549
-17.4396,2010-07-21,58187
-17.272,2010-08-07,63490
-17.2424,2010-08-10,107054
-17.134,2010-08-21,75216
-16.9664,2010-09-06,87045
-16.8383,2010-09-19,68753
-16.7397,2010-09-29,111648
-16.5721,2010-10-16,61835
-16.56,2010-10-17,66853
-16.4,2010-11-02,115562
-16.0497,2010-12-07,117345
-16.0,2010-12-12,63340
-15.6357,2011-01-17,96508
-15.2414,2011-02-26,78078
-15.0,2011-03-22,121450
-14.8471,2011-04-06,117316
-14.4529,2011-05-16,31334
-14.4,2011-05-21,71928
-14.1571,2011-06-14,113103
-14.0783,2011-06-22,109888
-13.684,2011-08-01,93973
-13.5066,2011-08-18,107862
-13.5,2011-08-19,105691
-13.32,2011-09-06,110458
-13.14,2011-09-24,70043
-12.96,2011-10-12,91851
-12.718,2011-11-05,57734
-12.5209,2011-11-25,80428
-12.42,2011-12-05,56416
-12.1266,2012-01-03,71140
-12.0576,2012-01-10,88144
-12.0,2012-01-16,78756
-11.7,2012-02-15,134073
-11.6633,2012-02-19,79645
-11.6337,2012-02-22,142202
-11.407,2012-03-15,130869
-11.34,2012-03-22,128794
-11.1901,2012-04-06,66113
-11.0127,2012-04-24,121526
-10.9536,2012-04-30,106880
-10.8846,2012-05-07,114627
-10.8254,2012-05-12,69027
-10.786,2012-05-16,120183
-10.7071,2012-05-24,123454
-10.6283,2012-06-01,58784
-10.51,2012-06-13,125636
-10.4311,2012-06-21,128005
-10.39,2012-06-25,44766
-10.2241,2012-07-12,48597
-9.8496,2012-08-18,68791
-9.8299,2012-08-20,84679
-9.4602,2012-09-26,108518
-9.4356,2012-09-28,103961
-9.3271,2012-10-09,100563
-9.18,2012-10-24,106289
-9.0659,2012-11-04,66550
-8.8984,2012-11-21,115910
-8.89,2012-11-22,81691
-8.8688,2012-11-24,57226
-8.8491,2012-11-26,94324
-8.8294,2012-11-28,110217
-8.5928,2012-12-22,54295
-8.5731,2012-12-24,66073
-8.5336,2012-12-28,75946
-8.5189,2012-12-29,52444
-8.4646,2013-01-04,82529
-8.4548,2013-01-04,82529
-8.302,2013-01-20,21893
-8.2823,2013-01-22,111336
-8.2379,2013-01-26,59051
-8.2182,2013-01-28,102272
-8.1394,2013-02-05,108869
-8.1295,2013-02-06,111077
-8.1,2013-02-09,28915
-8.0704,2013-02-12,109411
-8.0,2013-02-19,112973
-7.92,2013-02-27,115553
-7.8535,2013-03-06,112220
